location,Bogotá,Bogotá,Bogotá,Bogotá
lat,4.65067,4.65067,4.65067,4.65067
lon,-74.11948,-74.11948,-74.11948,-74.11948
asl,2485.715,2485.715,2485.715,2485.715
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Bogotá Temperature [2 m elevation corrected],Bogotá Relative Humidity [2 m],Bogotá Wind Speed [10 m],Bogotá Wind Direction [10 m]
20210104T1100,15.054147,66.0,12.783802,279.7276
20210104T1200,16.034145,67.0,15.484185,271.3322
20210104T1300,16.414146,66.0,17.283749,271.19348
20210104T1400,16.414146,66.0,16.563911,268.75464
20210104T1500,16.414146,65.0,15.856356,267.39746
20210104T1600,15.874146,68.0,14.113653,264.14398
20210104T1700,14.864146,74.0,13.039754,263.65982
20210104T1800,13.824146,79.0,10.495713,264.09387
20210104T1900,13.154146,84.0,8.311245,265.03027
20210104T2000,12.754147,85.0,5.7599998,270.0
20210104T2100,12.494146,86.0,3.96,270.0
20210104T2200,12.344147,85.0,2.1897945,279.46234
20210104T2300,12.304147,82.0,1.609969,296.56506
