Fecha,ora,Potencia [kW],Insolación [W/m²],Temperatura de modulos [°C],Temperatura ambiente [°C]
03/05/2020,07:10:00 AM,1.49,32.77,7.12,6.572836364
03/05/2020,07:15:00 AM,1.61,34.68,7.82,6.309768182
03/05/2020,07:20:00 AM,1.87,39.11,8.47,6.368406818
03/05/2020,07:25:00 AM,2.05,41.55,8.81,6.750863636
03/05/2020,07:30:00 AM,2.15,42.98,9.2,7.240429545
03/05/2020,07:35:00 AM,2.64,76.67,9.77,7.759365909
03/05/2020,07:40:00 AM,6.91,329.8,13.91,8.340972727
03/05/2020,07:45:00 AM,17.7,417.62,20.22,8.824772727
03/05/2020,07:50:00 AM,21.98,446.27,24.67,9.271329545
03/05/2020,07:55:00 AM,24.04,467.92,26.5,9.654931818
03/05/2020,08:00:00 AM,25.18,483.46,27.28,10.12993409
03/05/2020,08:05:00 AM,26.86,510.38,29.04,10.69261818
03/05/2020,08:10:00 AM,29.27,543.24,29.67,11.65255227
03/05/2020,08:15:00 AM,30.61,567.66,30.56,12.18901364
03/05/2020,08:20:00 AM,32.28,591.1,30.89,12.54236818
03/05/2020,08:25:00 AM,33.5,610.21,32.86,12.85535455
03/05/2020,08:30:00 AM,33.08,605.3,33.14,13.15066591
03/05/2020,08:35:00 AM,32.84,594.13,33.06,13.56349773
03/05/2020,08:40:00 AM,35.66,634.51,33.17,14.05949545
03/05/2020,08:45:00 AM,37.87,673.75,35.95,14.51073864
03/05/2020,08:50:00 AM,38.95,692.14,37.23,15.11352955
03/05/2020,08:55:00 AM,40.3,713.97,38.02,15.71164545
03/05/2020,09:00:00 AM,41.21,730.96,40.75,16.20922045
03/05/2020,09:05:00 AM,42.48,753.21,41.95,16.74887955
03/05/2020,09:10:00 AM,43.21,760.47,41.79,17.56298409
03/05/2020,09:15:00 AM,44.92,789.54,43.97,18.24839773
03/05/2020,09:20:00 AM,45.74,802.54,45.69,18.64815227
03/05/2020,09:25:00 AM,46.69,812.89,45.36,19.12887955
03/05/2020,09:30:00 AM,47.21,821.63,46.39,19.30115
03/05/2020,09:35:00 AM,47.4,823.89,48.28,19.11257045
03/05/2020,09:40:00 AM,48.17,831.61,48.62,18.91842727
03/05/2020,09:45:00 AM,50.17,863.3,47.19,18.843475
03/05/2020,09:50:00 AM,51.84,895.57,49.21,18.88174091
03/05/2020,09:55:00 AM,52.94,907.73,48.39,19.12553409
03/05/2020,10:00:00 AM,53.9,917.96,45.23,19.34977727
03/05/2020,10:05:00 AM,54.31,926.18,45.04,19.40347045
03/05/2020,10:10:00 AM,55.03,941.37,48.08,19.42974318
03/05/2020,10:15:00 AM,55.32,952.05,50.97,19.90072045
03/05/2020,10:20:00 AM,55.76,961.76,52.88,20.32003636
03/05/2020,10:25:00 AM,55.97,962.04,53.42,20.80844545
03/05/2020,10:30:00 AM,57.35,982.64,54.03,21.73733409
03/05/2020,10:35:00 AM,58.18,994.41,54.2,22.77542727
03/05/2020,10:40:00 AM,58.67,1004.2,56.95,23.4359
03/05/2020,10:45:00 AM,59.33,1017.34,57.78,23.54421818
03/05/2020,10:50:00 AM,59.72,1022.73,57.5,23.68286591
