Time,Potencia [kW],Irradiacion [W/m2],Temperatura de modulos[C],
2019-04-12 11:20:00,57.00159091,1002.3075,45.25,
2019-04-12 11:40:00,58.54795455,830.27,40.6925,
2019-04-12 12:00:00,58.99181818,1060.55,48.89,
2019-04-12 12:20:00,62.22772727,806.5725,41.9925,
2019-04-12 12:40:00,63.07909091,1022.665,45.7725,
2019-04-12 13:00:00,61.39522727,733.25,41.4425,
2019-04-12 13:20:00,58.87022727,133.64,25.8525,
2019-04-12 13:40:00,54.39454545,122.53,23.855,
2019-04-12 14:00:00,48.68227273,120.4075,24.375,
2019-04-12 14:20:00,43.835,99.755,23.34,
2019-04-12 14:40:00,37.83863636,54.9675,21.2875,
2019-04-12 15:00:00,32.36363636,54.215,20.465,
2019-04-12 15:20:00,26.40022727,41.1275,19.51,
2019-04-12 15:40:00,22.46113636,29.08,18.7525,
2019-04-12 16:00:00,19.70136364,23.2525,18.2375,
2019-04-12 16:20:00,17.71363636,21.0975,17.9375,
2019-04-12 16:40:00,17.39886364,18.93,17.7025,
2019-05-10 07:00:00,18.88386364,38.19,10.6925,
2019-05-10 07:20:00,22.79454545,405.92,22.6725,
2019-05-10 07:40:00,25.07522727,498.295,32.55,
2019-05-10 08:00:00,26.93727273,477.055,32.8675,
2019-05-10 08:20:00,29.12909091,671.75,37.995,
2019-05-10 08:40:00,30.88068182,785.5325,44.85,
2019-05-10 09:00:00,33.17681818,728.0025,43,
2019-05-10 09:20:00,34.06590909,449.485,35.3325,
2019-05-10 09:40:00,32.87727273,293.555,29.1275,
2019-05-10 10:00:00,33.05113636,335.3225,26.1475,
2019-05-10 10:20:00,31.23386364,280.7375,26.435,
2019-05-10 10:40:00,29.94909091,347.0325,30.595,
2019-05-10 11:00:00,27.00204545,391.7375,34.97,
2019-05-10 11:20:00,25.46204545,233.23,29.9625,
2019-05-10 11:40:00,25.12227273,416.065,32.425,
2019-05-10 12:00:00,26.73681818,309.64,34.005,
2019-05-10 12:20:00,29.64113636,480.8275,34.95,
2019-05-10 12:40:00,28.29636364,226.07,33.09,
2019-05-10 13:00:00,27.54704545,190.1175,28.4125,
2019-05-10 13:20:00,27.37636364,244.105,27.9075,
2019-05-10 13:40:00,26.05818182,490.5925,36.865,
2019-05-10 14:00:00,25.25863636,321.7425,34.325,
2019-05-10 14:20:00,22.69068182,148.7775,28.035,
2019-05-10 14:40:00,21.70818182,173.61,23.855,
2019-05-10 15:00:00,20.59136364,190.7475,23.2225,
2019-05-10 15:20:00,19.72409091,166.2475,22.755,
2019-05-10 15:40:00,16.81022727,157.1325,22.2625,
2019-05-10 16:00:00,13.89454545,127.975,21.85,
2019-05-10 16:20:00,16.65318182,81.1275,19.8175,
2019-05-10 16:40:00,19.51954545,42.66,19.0175,
2019-05-11 07:00:00,23.35045455,122.8625,17.685,
2019-05-11 07:20:00,26.69,162.93,21.015,
2019-05-11 07:40:00,31.22068182,339.28,19.21,
2019-05-11 08:00:00,36.01568182,647.195,32.9575,
2019-05-11 08:20:00,41.86636364,828.7425,38.565,
2019-05-11 08:40:00,46.21,866.7575,38.1825,
2019-05-11 09:00:00,49.11045455,794.6975,37.8125,
2019-05-11 09:20:00,51.75045455,948.62,42.43,
2019-05-11 09:40:00,55.58159091,905.5175,40.61,
2019-05-11 10:00:00,56.3675,1009.8475,41.375,
2019-05-11 10:20:00,57.61886364,735.235,37.3975,
2019-05-11 10:40:00,57.58659091,546.075,34.795,
2019-05-11 11:00:00,55.77909091,557.3175,36.7275,
2019-05-11 11:20:00,54.44704545,991.0275,45.1225,
2019-05-11 11:40:00,51.08477273,735.285,43.29,
2019-05-11 12:00:00,49.18159091,1027.86,43.595,
2019-05-11 12:20:00,48.15545455,783.59,41.355,
2019-05-11 12:40:00,47.32113636,431.235,28.8125,
2019-05-11 13:00:00,45.02704545,332.2975,24.4975,
2019-05-11 13:20:00,40.56386364,273.945,23.815,
2019-05-11 13:40:00,36.80863636,277.71,25.5475,
2019-05-11 14:00:00,31.22045455,119.4025,21.055,
2019-05-11 14:20:00,26.50068182,136.1675,20.7975,
2019-05-11 14:40:00,23.87272727,159.5675,21.1125,
2019-05-11 15:00:00,19.77886364,98.41,20.665,
2019-05-11 15:20:00,18.62613636,79.24,19.4325,
2019-05-11 15:40:00,15.97954545,70.6675,18.6675,
2019-05-11 16:00:00,14.85681818,57.94,18.1325,
2019-05-11 16:20:00,15.16590909,43.9825,18.205,
2019-05-11 16:40:00,16.97954545,24.0375,16.905,
2019-05-12 07:00:00,19.745,331.3225,21.5075,
2019-05-12 07:20:00,23.52113636,430.2875,27.9375,
2019-05-12 07:40:00,28.09340909,495.5925,32.2625,
2019-05-12 08:00:00,32.98340909,616.4225,39.66,
2019-05-12 08:20:00,37.83295455,602.5125,42.0725,
2019-05-12 08:40:00,43.265,750.8075,41.8325,
2019-05-12 09:00:00,48.35818182,858.8725,47.6475,
2019-05-12 09:20:00,52.92613636,909.505,50.175,
2019-05-12 09:40:00,55.72340909,919.1975,42.9625,
2019-05-12 10:00:00,56.87681818,924.275,43.5325,
2019-05-12 10:20:00,58.29409091,1036.4275,52.185,
2019-05-12 10:40:00,57.17795455,1080.4375,48.1375,
2019-05-12 11:00:00,54.06818182,1140.9075,54.395,
2019-05-12 11:20:00,50.51704545,956.5275,54.2825,
2019-05-12 11:40:00,46.75136364,772.3825,51.9175,
2019-05-12 12:00:00,44.60454545,803.935,51.06,
2019-05-12 12:20:00,40.98568182,491.515,39.8875,
2019-05-12 12:40:00,38.77090909,231.815,33.3775,
2019-05-12 13:00:00,33.70159091,232.28,29.6925,
2019-05-12 13:20:00,29.18772727,208.4175,29.2325,
2019-05-12 13:40:00,26.68159091,199.3925,27.64,
2019-05-12 14:00:00,22.94727273,187.2825,26.6025,
2019-05-12 14:20:00,21.32090909,195.56,24.9425,
2019-05-12 14:40:00,20.05977273,187.9075,23.11,
2019-05-12 15:00:00,18.61386364,90.1175,20.6775,
2019-05-12 15:20:00,17.59136364,54.645,19.1325,
2019-05-12 15:40:00,15.78045455,42.25,18.8375,
2019-05-12 16:00:00,15.49954545,44.04,18.465,
2019-05-12 16:20:00,13.88386364,36.4075,17.4525,
2019-05-12 16:40:00,15.01,28.4925,17.4,
