"Fecha","Hora","Potencia [kW]","Insolacion [W/m2]","Temperatura de modulos [C]","Temperatura Ambiente [C]"
"15/04/2020","21:40","x","1,01","14,22","14,14271818"
"15/04/2020","21:45","x","1,01","14,23","14,04729318"
"15/04/2020","21:50","x","1,01","14,02","13,96277727"
"15/04/2020","21:55","x","1","14,05","13,914625"
"15/04/2020","22:00","x","1","13,88","13,87556364"
"15/04/2020","22:05","x","1","13,61","13,79741136"
"15/04/2020","22:10","x","1","13,55","13,70835"
"15/04/2020","22:15","x","1","13,58","13,64204545"
"15/04/2020","22:20","x","1","13,83","13,60480227"
"15/04/2020","22:25","x","1","13,81","13,55662045"
"15/04/2020","22:30","x","1","13,35","13,52028636"
"15/04/2020","22:35","x","1","13,24","13,51304318"
"15/04/2020","22:40","x","0,99","13,5","13,51849773"
"15/04/2020","22:45","x","1","13,61","13,53667955"
"15/04/2020","22:50","x","1","13,52","13,53031591"
"15/04/2020","22:55","x","0,99","13,48","13,53213409"
"15/04/2020","23:00","x","0,99","13,53","13,57758864"
"15/04/2020","23:05","x","1","13,61","13,63667955"
"15/04/2020","23:10","x","1","13,78","13,67755909"
"15/04/2020","23:15","x","1","13,76","13,70849773"
"15/04/2020","23:20","x","1","13,83","13,76395227"
"15/04/2020","23:25","x","1","13,85","13,84392273"
"15/04/2020","23:30","x","1","13,89","13,91934773"
"15/04/2020","23:35","x","1","13,95","13,99662045"
"15/04/2020","23:40","x","0,99","13,95","14,05843864"
"15/04/2020","23:45","x","1","14,13","14,12116591"
"15/04/2020","23:50","x","1","14,36","14,17480227"
"15/04/2020","23:55","x","1","14,36","14,22480227"
"16/04/2020","0:00","x","1","14,46","14,27119545"
"16/04/2020","0:05","x","1","14,46","14,29849773"
"16/04/2020","0:10","x","1","14,45","14,29577045"
"16/04/2020","0:15","x","1","14,42","14,23946591"
"16/04/2020","0:20","x","1","14,4","14,11861591"
"16/04/2020","0:25","x","0,99","14,4","13,96412955"
"16/04/2020","0:30","x","0,99","14,25","13,78600682"
"16/04/2020","0:35","x","0,99","13,92","13,60061136"
"16/04/2020","0:40","x","0,98","13,51","13,42339773"
"16/04/2020","0:45","x","0,98","13,03","13,25982045"
"16/04/2020","0:50","x","0,98","12,66","13,12075909"
"16/04/2020","0:55","x","0,98","12,5","12,98348636"
"16/04/2020","1:00","x","0,98","12,42","12,85257727"
"16/04/2020","1:05","x","0,98","12,5","12,74530455"
"16/04/2020","1:10","x","0,98","12,62","12,65254773"
"16/04/2020","1:15","x","0,99","12,87","12,55709318"
"16/04/2020","1:20","x","0,99","12,89","12,46618409"
"16/04/2020","1:25","x","0,99","12,81","12,36618409"
"16/04/2020","1:30","x","0,99","12,74","12,25891136"
"16/04/2020","1:35","x","0,99","12,49","12,15254773"
"16/04/2020","1:40","x","0,98","11,98","12,05160909"
"16/04/2020","1:45","x","0,98","11,66","11,93433636"
"16/04/2020","1:50","x","0,98","11,4","11,82433636"
"16/04/2020","1:55","x","0,98","11,24","11,74160909"
"16/04/2020","2:00","x","0,98","11,33","11,68706364"
"16/04/2020","2:05","x","0,99","11,51","11,66888182"
"16/04/2020","2:10","x","0,99","11,58","11,68976136"
"16/04/2020","2:15","x","0,99","11,68","11,73976136"
"16/04/2020","2:20","x","0,99","11,9","11,81791364"
"16/04/2020","2:25","x","0,99","12,14","11,90424773"
"16/04/2020","2:30","x","0,99","12,29","11,95967273"
"16/04/2020","2:35","x","0,99","12,21","11,95512727"
"16/04/2020","2:40","x","0,98","12,21","11,89333864"
"16/04/2020","2:45","x","0,99","12,26","11,79245909"
