Fecha ,Hora,Potencia [kW],Insolaci½n [W/mì],Temperatura de modulos [›C],Temperatura ambiente [›C]
01/23/2020,09:55:00 AM,10.69,153.68,24.78,18.98933409
01/23/2020,10:00:00 AM,25.79,429.6,26.02,20.52928182
01/23/2020,10:05:00 AM,20.69,315.37,30.95,20.80443864
01/23/2020,10:10:00 AM,22.38,352.7,31.05,20.38779091
01/23/2020,10:15:00 AM,56.24,905.01,37.65,19.48083182
01/23/2020,10:20:00 AM,34.54,524.44,43.41,19.02331818
01/23/2020,10:25:00 AM,20.11,315.4,37.85,18.98890455
01/23/2020,10:30:00 AM,17.89,277.47,34.15,19.80342955
01/23/2020,10:35:00 AM,23.81,367.46,32.97,20.21682955
01/23/2020,10:40:00 AM,40.68,673.97,35.57,20.44429545
01/23/2020,10:45:00 AM,55.48,888.7,43.98,21.99479545
01/23/2020,10:50:00 AM,56.93,945.02,50.12,22.61288409
01/23/2020,10:55:00 AM,62.78,1066.53,55.68,23.47787727
01/23/2020,11:00:00 AM,60.26,1023.45,58.51,23.71570455
01/23/2020,11:05:00 AM,65.23,1125.25,58.66,24.1987
01/23/2020,11:10:00 AM,63.86,1115.61,61.55,24.83518182
